employee_id,employer_id,employer_name,industry,employer_quality,age,education,education_issue,financial_literacy,employer_match_eligible,retirement_contribution_rate,annual_earnings,net_worth,household_debt,complete_iv_case
85,10,Employer 10,education,-0.152,60,college,,-0.189,0,0.0503,93894.04,387417.46,41990.9,1
86,21,Employer 21,tech,-0.699,48,some_college,,-1.357,0,0.0708,48857.37,139561.97,34715.25,1
87,29,Employer 29,tech,-1.532,27,some_college,,-0.256,0,0.0232,21179.86,37130.6,-5173.45,1
88,5,Employer 5,education,0.163,29,,unknown,0.55,0,0.0,53466.39,134455.36,51373.39,1
89,1,Employer 1,healthcare,0.435,28,high_school,,-1.409,1,0.0391,38892.75,26395.76,23892.9,1
90,59,Employer 59,manufacturing,-0.63,60,graduate,,0.094,0,0.1001,90822.63,341409.9,100378.72,1
91,65,Employer 65,healthcare,1.04,55,some_college,,0.786,1,0.1018,60975.72,212694.28,19791.06,1
92,66,Employer 66,,-0.111,35,,blank,2.381,1,0.0986,73929.81,286649.52,16174.82,1
93,59,Employer 59,manufacturing,-0.63,58,college,,-0.682,0,0.0355,71597.89,189237.56,33743.23,1
94,73,Employer 73,tech,1.456,50,some_college,,0.19,1,0.1232,69602.88,317288.32,48834.06,1
95,26,employer 26,manufacturing,0.782,27,high_school,,-2.672,1,0.1112,47717.16,34264.41,73386.29,1
96,67,employer 67,retail,0.414,,high_school,,0.925,1,0.1118,34992.75,114837.42,,1
97,23,Employer 23,healthcare,0.843,56,high_school,,-0.979,0,0.0773,61944.6,209845.07,27987.23,1
98,54,Employer 54,healthcare,1.602,42,some_college,,-1.02,1,0.0482,78299.04,162241.0,24213.09,1
99,38,Employer 38,retail,0.6,32,college,,-0.317,0,0.0,88212.83,199216.79,56048.39,1
100,45,EMPLOYER 45,healthcare,-0.048,50,some_college,,0.314,0,0.0447,58534.63,254359.22,9736.19,1
101,19,Employer 19,manufacturing,-1.545,44,college,,0.702,0,0.0038,69528.67,288939.39,34626.97,1
102,78,Employer 78,tech,-0.044,47,college,,0.662,0,0.0416,63039.1,221515.12,63630.44,1
103,6,employer 6,tech,-0.405,38,graduate,,0.16,0,0.0949,85080.11,286246.42,3068.64,1
104,38,Employer 38,retail,0.6,44,,unknown,-1.532,0,0.0543,83448.17,218970.68,17438.82,1
105,23,Employer 23,healthcare,0.843,58,some_college,,-1.052,1,0.0645,83385.61,282397.62,39257.38,1
106,31,Employer 31,tech,-0.524,45,college,,1.527,0,0.0936,80611.22,213861.5,10631.37,1
107,35,Employer 35,education,1.147,27,high_school,,-0.309,1,0.0864,32731.27,115521.11,34796.95,1
108,31,Employer 31,tech,-0.524,49,some_college,,-0.782,0,0.047400000000000005,60638.54,108178.75,17592.35,1
109,26,employer 26,manufacturing,0.782,51,college,,-0.499,0,0.0056,90510.31,278762.62,22589.74,1
110,23,Employer 23,healthcare,0.843,27,graduate,,1.404,1,0.0427,69169.45,330115.45,17486.72,1
111,15,Employer 15,manufacturing,-0.5,57,some_college,,-0.228,0,0.0284,90994.59,192709.7,6728.03,1
112,36,employer 36,education,0.429,55,college,,0.785,1,0.1211,80520.1,220544.0,26265.52,1
113,29,Employer 29,tech,-1.532,48,college,,-1.373,1,0.0666,61592.93,127125.08,53330.01,1
114,46,Employer 46,healthcare,-0.824,60,high_school,,-0.065,0,0.0868,42350.5,297089.25,58229.56,1
115,13,Employer 13,retail,-0.779,45,high_school,,0.479,1,0.0557,54139.47,276932.21,36861.7,1
116,14,Employer 14,tech,0.809,49,graduate,,-0.618,1,0.0365,90133.26,365301.86,47935.23,1
117,72,Employer 72,retail,-1.546,48,college,,0.374,0,0.0299,70794.04,105153.92,57602.22,1
118,64,Employer 64,education,0.008,39,college,,-1.609,0,0.0713,77818.09,188563.52,47806.62,1
119,59,Employer 59,manufacturing,-0.63,43,college,,0.568,1,0.10369999999999999,59502.97,270295.55,32686.63,1
120,28,Employer 28,tech,0.76,36,some_college,,-0.155,0,0.0023,40515.68,55492.48,52618.04,1
121,39,employer 39,tech,0.394,52,college,,0.85,1,0.1112,77531.07,236069.11,47697.87,1
122,79,Employer 79,manufacturing,1.13,37,college,,-0.295,1,0.0573,108118.42,228622.19,78196.87,1
123,40,employer 40,healthcare,-0.709,60,high_school,,0.03,0,0.0516,57524.15,219601.28,-537.96,1
124,69,Employer 69,manufacturing,-0.094,31,college,,-1.248,0,0.0294,59627.75,73378.26,53311.48,1
125,40,employer 40,healthcare,-0.709,36,graduate,,0.258,0,0.0548,56028.24,232596.74,48092.72,1
126,24,Employer 24,education,0.556,53,college,,0.811,0,0.0998,85729.18,293399.81,53320.83,1
127,57,employer 57,manufacturing,-1.965,52,college,,0.487,0,0.0747,68657.12,341996.81,45973.44,1
128,32,Employer 32,healthcare,-0.072,42,college,,2.557,1,0.1218,79145.89,399484.89,50910.0,1
129,5,Employer 5,education,0.163,44,graduate,,-0.254,0,0.0304,86059.72,286824.65,45121.76,1
130,57,employer 57,manufacturing,-1.965,57,graduate,,-0.914,0,0.0522,87391.55,318367.77,41381.06,1
131,8,Employer 8,retail,1.471,51,graduate,,-0.064,1,0.088,106173.65,325294.97,51558.81,1
132,4,Employer 4,tech,0.088,58,college,,2.267,0,0.1389,44207.94,266491.74,44845.78,1
133,6,employer 6,tech,-0.405,52,some_college,,-3.556,0,0.0073,45274.06,59197.79,70615.27,1
134,71,employer 71,healthcare,-0.829,59,some_college,,-0.507,0,0.0197,79564.18,123159.02,23398.98,1
135,16,Employer 16,,-0.05,55,high_school,,-0.334,0,0.0467,51518.64,155827.65,70914.55,1
136,64,Employer 64,education,0.008,27,some_college,,0.597,0,0.0413,26203.18,97683.98,49713.56,1
137,44,Employer 44,healthcare,0.546,51,college,,0.989,1,0.1211,87063.6,111042.83,22630.87,1
138,74,EMPLOYER 74,tech,-0.833,30,college,,-0.344,0,0.0097,55804.79,246844.68,79987.15,1
139,8,Employer 8,retail,1.471,34,college,,1.548,0,0.0524,70831.97,151239.79,37550.19,1
140,67,employer 67,retail,0.414,35,graduate,,0.146,0,0.0059,80418.05,180849.79,20072.35,1
141,30,Employer 30,manufacturing,-0.274,26,college,,-0.428,0,0.0326,35152.04,110728.43,68983.71,1
142,7,Employer 7,tech,1.877,26,high_school,,0.521,1,0.0541,58484.31,130367.4,40931.31,1
143,34,Employer 34,tech,0.713,47,college,,-1.33,1,0.0763,86214.94,237960.72,51742.41,1
144,74,EMPLOYER 74,tech,-0.833,58,some_college,,-0.052,0,0.0185,63711.81,181511.16,48050.17,1
145,6,employer 6,tech,-0.405,43,graduate,,0.408,1,0.085,77415.79,364546.15,11389.06,1
146,20,Employer 20,retail,2.829,31,college,,-0.628,1,0.0295,75707.71,242864.75,56395.95,1
147,74,EMPLOYER 74,tech,-0.833,55,college,,1.061,0,0.0889,88343.9,269291.99,23099.95,1
148,19,Employer 19,manufacturing,-1.545,38,some_college,,-0.26,0,0.0288,53556.98,180186.01,46885.48,1
149,16,Employer 16,,-0.05,25,some_college,,-1.248,0,0.0009,55976.3,31707.53,16892.98,1
150,72,Employer 72,retail,-1.546,60,some_college,,0.955,0,0.1071,67651.39,295151.35,34262.99,1
151,31,Employer 31,tech,-0.524,35,graduate,,-0.845,1,0.0489,84733.78,231799.62,571.21,1
152,57,employer 57,manufacturing,-1.965,35,high_school,,1.488,0,0.078,34124.49,229803.54,45090.68,1
153,36,employer 36,education,0.429,41,college,,-0.677,1,0.052300000000000006,91872.63,236494.06,45028.63,1
154,7,Employer 7,tech,1.877,37,some_college,,0.511,1,0.0697,81065.1,168469.66,61213.55,1
155,14,Employer 14,tech,0.809,28,college,,0.137,1,0.055099999999999996,67422.21,197316.39,1590.72,1
156,42,Employer 42,healthcare,0.503,33,some_college,,-0.708,0,0.0214,36552.08,77445.13,43260.06,1
157,36,employer 36,education,0.429,52,some_college,,-1.045,0,0.0,80366.06,70929.55,49861.6,1
158,47,Employer 47,education,-1.546,28,graduate,,0.055,0,0.0895,56880.68,201840.39,35924.1,1
159,23,Employer 23,healthcare,0.843,29,some_college,,0.382,1,0.0268,55182.86,122055.66,52410.34,1
160,57,employer 57,manufacturing,-1.965,53,graduate,,1.784,0,0.0693,69833.08,285824.63,15994.43,1
161,66,Employer 66,,-0.111,45,high_school,,0.169,0,0.0423,54281.23,216623.85,36847.13,1
162,32,Employer 32,healthcare,-0.072,29,high_school,,1.946,0,0.0976,57947.95,171611.57,12313.89,1
163,36,employer 36,education,0.429,40,high_school,,-0.496,1,0.0795,46661.11,45192.28,13831.3,1
164,10,Employer 10,education,-0.152,48,some_college,,0.183,0,0.029500000000000002,94152.97,182111.3,16226.82,1
165,19,Employer 19,manufacturing,-1.545,34,some_college,,-1.019,1,0.0797,43225.45,115239.78,50721.75,1
166,19,Employer 19,manufacturing,-1.545,26,some_college,,-2.143,0,0.0,18000.0,83035.39,1330.14,1
167,14,Employer 14,tech,0.809,46,college,,-1.5,1,0.0594,70734.59,237366.87,76496.3,1
168,8,Employer 8,retail,1.471,26,high_school,,-0.842,1,0.0123,66782.52,-36688.37,81368.25,1
169,25,Employer 25,manufacturing,-0.48,45,some_college,,0.602,1,0.1325,61547.03,242047.49,32521.13,1
170,35,Employer 35,education,1.147,46,some_college,,1.368,1,0.1088,52664.71,182298.95,52567.3,1
171,43,employer 43,healthcare,-0.302,45,high_school,,1.116,0,0.0991,38613.2,194132.97,48232.22,1
172,28,Employer 28,tech,0.76,26,graduate,,-0.571,1,0.0617,61376.89,153250.19,28033.33,1
173,47,Employer 47,education,-1.546,60,some_college,,-0.57,0,0.0476,68231.85,187725.38,52976.56,1
174,10,Employer 10,education,-0.152,27,college,,0.428,1,0.0843,59116.3,184139.08,38250.39,1
175,3,Employer 3,retail,-0.427,55,high_school,,-1.457,1,0.0613,48483.98,303486.88,32008.84,1
176,13,Employer 13,retail,-0.779,36,college,,0.049,0,0.0594,71066.73,210048.53,51160.91,1
177,10,Employer 10,education,-0.152,41,high_school,,1.321,0,0.0727,60731.66,243003.62,23960.67,1
178,76,Employer 76,manufacturing,0.681,37,college,,-1.326,1,0.0222,64733.98,276336.4,50610.27,1
179,68,Employer 68,healthcare,-0.625,54,college,,1.88,0,0.0794,61267.19,274657.06,18111.17,1
180,21,Employer 21,tech,-0.699,50,college,,1.877,0,0.0938,85308.81,341292.98,10784.37,1
181,79,Employer 79,manufacturing,1.13,54,some_college,,-0.309,0,0.0223,76150.68,315410.62,55426.85,1
182,51,employer 51,retail,0.769,43,college,,-1.113,1,0.0471,89260.65,230457.64,49616.54,1
183,3,Employer 3,retail,-0.427,44,college,,0.163,0,0.0468,72850.3,314581.3,48959.17,1
184,47,Employer 47,education,-1.546,37,high_school,,0.253,0,0.0,39333.26,129558.79,32568.12,1
185,18,Employer 18,tech,-0.442,32,some_college,,-0.038,0,0.05,51972.94,126175.25,58264.77,1
187,73,Employer 73,tech,1.456,42,graduate,,0.044,1,0.053200000000000004,82087.47,280419.24,40822.06,1
188,35,Employer 35,education,1.147,31,some_college,,-1.553,1,0.0727,55890.71,154417.91,29707.77,1
189,43,employer 43,healthcare,-0.302,45,graduate,,0.158,1,0.1178,90066.22,266925.07,39359.0,1
190,15,Employer 15,manufacturing,-0.5,29,some_college,,0.839,1,0.0424,60703.28,191346.39,19957.77,1
191,56,employer 56,retail,1.215,29,college,,1.185,0,0.0694,40884.32,261285.59,62344.2,1
192,73,Employer 73,tech,1.456,38,high_school,,-2.073,1,0.0129,58514.86,-37184.03,50095.21,1
193,49,Employer 49,manufacturing,-1.858,44,high_school,,1.883,0,0.0728,47978.87,154894.97,55578.8,1
194,46,Employer 46,healthcare,-0.824,53,some_college,,-1.47,0,0.0175,61986.02,93375.19,4255.69,1
195,2,Employer 2,tech,0.564,56,high_school,,0.037,1,0.1066,53281.87,158866.68,22919.38,1
196,7,Employer 7,tech,1.877,49,college,,1.648,1,0.0563,91154.54,214262.24,10104.39,1
197,63,Employer 63,healthcare,1.055,56,college,,-1.337,0,0.0706,67735.87,179183.0,41787.87,1
198,16,Employer 16,,-0.05,40,high_school,,-1.639,0,0.0216,32861.05,82265.53,25582.08,1
199,56,employer 56,retail,1.215,59,graduate,,-0.927,0,0.0518,107078.53,274702.23,28776.92,1
200,43,employer 43,healthcare,-0.302,43,high_school,,1.53,0,0.1246,46950.43,221906.64,41574.46,1
201,9,employer 9,healthcare,-0.575,43,some_college,,-1.446,0,0.0594,50629.86,80469.42,36828.82,1
202,24,Employer 24,education,0.556,39,college,,0.175,0,0.0748,84905.07,242141.82,49687.4,1
203,19,Employer 19,manufacturing,-1.545,32,graduate,,0.045,0,0.0426,72383.35,308503.73,41469.82,1
204,38,Employer 38,retail,0.6,36,graduate,,-1.309,0,0.051100000000000007,84613.48,215529.72,25008.27,1
205,53,Employer 53,education,-1.301,44,college,,-0.581,0,0.0387,47743.62,73716.23,61524.51,1
206,24,Employer 24,education,0.556,26,high_school,,2.958,1,0.0825,32424.36,174823.63,52180.99,1
207,65,Employer 65,healthcare,1.04,29,some_college,,1.049,0,0.0289,47284.17,152524.44,47234.63,1
208,63,Employer 63,healthcare,1.055,46,some_college,,0.596,1,0.0804,56820.87,197053.37,54243.0,1
210,59,Employer 59,manufacturing,-0.63,54,college,,0.423,0,0.0594,79646.33,298224.52,76352.17,1
211,3,Employer 3,retail,-0.427,53,college,,-1.582,0,0.009399999999999999,56956.21,132793.99,-5645.61,1
212,22,Employer 22,education,0.473,32,college,,-1.03,0,0.0,56956.48,19900.93,32448.47,1
213,24,Employer 24,education,0.556,34,some_college,,0.147,1,0.09029999999999999,42103.03,62314.23,53298.51,1
214,59,Employer 59,manufacturing,-0.63,31,college,,0.462,0,0.0233,40542.87,99878.26,13996.43,1
215,3,Employer 3,retail,-0.427,49,high_school,,-0.772,0,0.060700000000000004,55152.59,125726.18,12680.92,1
216,1,Employer 1,healthcare,0.435,43,high_school,,0.211,1,0.0722,38380.75,110013.72,33137.71,1
217,50,Employer 50,retail,1.727,25,college,,0.6,1,0.035,57737.69,210115.96,67252.45,1
218,17,Employer 17,healthcare,0.01,25,some_college,,-0.102,0,0.0146,55401.32,164707.89,33149.11,1
219,36,employer 36,education,0.429,47,some_college,,-0.64,1,0.1305,69997.69,247630.18,50791.8,1
220,28,Employer 28,tech,0.76,42,some_college,,-0.421,1,0.0651,60103.18,128707.35,37678.37,1
221,64,Employer 64,education,0.008,51,some_college,,0.782,1,0.1158,66774.9,292464.42,45485.31,1
222,8,Employer 8,retail,1.471,41,high_school,,0.679,1,0.10369999999999999,54328.27,284036.99,50500.73,1
223,1,Employer 1,healthcare,0.435,25,college,,0.576,1,0.0664,71432.28,244433.32,26773.56,1
224,5,Employer 5,education,0.163,27,some_college,,-1.229,1,0.061200000000000004,51764.21,102007.27,46852.56,1
225,48,Employer 48,healthcare,-0.549,57,high_school,,0.931,0,0.052300000000000006,66304.68,271214.17,63796.58,1
226,44,Employer 44,healthcare,0.546,59,college,,0.343,0,0.0595,91513.23,315317.33,2976.01,1
227,38,Employer 38,retail,0.6,28,college,,0.211,1,0.11109999999999999,57726.97,199167.45,37392.3,1
228,29,Employer 29,tech,-1.532,31,some_college,,0.842,0,0.083,48785.22,157182.75,39608.73,1
229,31,Employer 31,tech,-0.524,31,high_school,,-0.926,1,0.1535,44022.93,126826.73,34001.08,1
230,61,Employer 61,education,0.898,37,,blank,1.485,0,0.088,58855.59,201914.46,15744.51,1
231,52,Employer 52,healthcare,0.211,26,,blank,0.803,1,0.0935,91727.98,275696.26,28227.9,1
232,21,Employer 21,tech,-0.699,25,college,,-0.41,0,0.0431,57858.36,91843.27,42938.47,1
233,75,Employer 75,tech,-0.726,26,college,,0.202,0,0.021,60492.92,44771.85,14703.88,1
234,1,Employer 1,healthcare,0.435,42,some_college,,-0.054,0,0.0689,72410.52,187708.2,-3762.48,1
235,49,Employer 49,manufacturing,-1.858,60,some_college,,-1.357,0,0.0112,52139.9,188191.54,13730.48,1
236,57,employer 57,manufacturing,-1.965,56,college,,-0.012,0,0.042699999999999995,62085.93,297403.55,38718.99,1
237,12,employer 12,manufacturing,-0.86,32,college,,-1.107,0,0.0,66436.9,135349.93,51754.98,1
238,66,Employer 66,,-0.111,40,college,,1.843,1,0.1206,74350.66,186785.76,37984.11,1
239,30,Employer 30,manufacturing,-0.274,25,some_college,,0.128,0,0.0204,54910.4,64786.06,29373.29,1
240,30,Employer 30,manufacturing,-0.274,59,some_college,,-0.911,0,0.0418,67883.42,209722.68,32858.47,1
241,51,employer 51,retail,0.769,57,college,,-0.916,1,0.0716,85689.79,298920.86,18467.52,1
242,46,Employer 46,healthcare,-0.824,56,college,,-0.76,0,0.0343,91913.38,229075.23,66617.6,1
243,58,Employer 58,education,0.302,42,high_school,,0.84,1,0.0951,37991.76,179481.63,52914.73,1
244,46,Employer 46,healthcare,-0.824,27,high_school,,1.168,1,0.1569,44424.94,228791.94,55085.58,1
245,34,Employer 34,tech,0.713,44,graduate,,-1.611,1,0.09390000000000001,85741.04,315064.12,34800.99,1
246,36,employer 36,education,0.429,55,high_school,,0.748,0,0.0481,57824.41,192677.39,58587.23,1
248,36,employer 36,education,0.429,30,high_school,,1.308,1,0.052000000000000005,66604.14,267993.69,28755.81,1
249,10,Employer 10,education,-0.152,40,college,,-0.558,1,0.077,57426.23,243274.95,33224.08,1
250,54,Employer 54,healthcare,1.602,56,college,,1.178,1,0.1336,86096.19,412634.35,,1
251,43,employer 43,healthcare,-0.302,44,graduate,,-0.821,0,0.0405,101079.27,235920.03,46352.01,1
252,10,Employer 10,education,-0.152,41,high_school,,-1.391,1,0.0694,29787.62,50944.78,70510.02,1
253,58,Employer 58,education,0.302,51,some_college,,-1.098,1,0.0638,63667.62,142380.85,63953.81,1
255,64,Employer 64,education,0.008,28,college,,-1.444,1,0.0309,46860.24,140399.08,41345.91,1
256,42,Employer 42,healthcare,0.503,42,graduate,,-0.691,1,0.0593,104595.82,290544.6,71413.85,1
257,79,Employer 79,manufacturing,1.13,36,graduate,,-0.328,1,0.0487,95165.53,274713.57,36573.48,1
258,67,employer 67,retail,0.414,35,high_school,,0.068,0,0.0,76245.79,248595.18,18722.31,1
260,34,Employer 34,tech,0.713,28,high_school,,0.632,1,0.1158,37151.5,218791.13,35535.5,1
261,70,Employer 70,education,1.312,50,some_college,,-2.119,0,0.0562,56933.5,108227.43,55137.04,1
262,33,Employer 33,retail,1.764,49,college,,-1.034,1,0.0809,101563.49,225005.07,60848.02,1
263,80,Employer 80,,-0.854,53,college,,-1.322,0,0.0215,64155.45,284323.28,33830.58,1
264,25,Employer 25,manufacturing,-0.48,35,college,,0.836,1,0.0621,59185.33,333991.1,37835.32,1
265,74,EMPLOYER 74,tech,-0.833,28,high_school,,-1.465,0,0.0,52820.95,45764.49,21015.51,1
266,15,Employer 15,manufacturing,-0.5,26,college,,-0.991,0,0.0275,55333.93,123579.36,17369.35,1
267,73,Employer 73,tech,1.456,53,some_college,,-0.862,1,0.0374,81065.68,223516.15,44808.81,1
268,1,Employer 1,healthcare,0.435,45,some_college,,-0.308,0,0.0302,77568.92,241163.62,45658.11,1
